iter	Passed	Remaining
311	737	1625
312	738	1620
313	739	1614
314	740	1609
315	740	1603
316	741	1597
317	742	1592
318	743	1586
319	743	1580
320	744	1575
321	745	1569
322	746	1563
323	746	1558
324	747	1552
325	748	1547
326	749	1541
327	749	1536
328	750	1530
329	751	1525
330	751	1519
331	752	1514
332	753	1510
333	754	1505
334	755	1500
335	756	1494
336	757	1489
337	757	1484
338	758	1479
339	759	1474
340	760	1469
341	760	1464
342	761	1459
343	762	1454
344	763	1449
345	764	1444
346	764	1439
347	765	1434
348	766	1429
349	766	1424
350	768	1420
351	769	1416
352	770	1411
353	770	1406
354	771	1401
355	772	1396
356	772	1392
357	773	1387
358	774	1382
359	775	1378
360	775	1373
361	776	1368
362	777	1364
363	779	1361
364	780	1357
365	781	1353
366	781	1348
367	782	1344
368	783	1340
369	784	1336
370	785	1331
371	786	1327
372	786	1322
373	787	1318
374	788	1314
375	789	1309
376	789	1305
377	790	1300
378	791	1296
379	792	1292
380	792	1288
381	793	1283
382	794	1279
383	794	1275
384	795	1271
385	796	1267
386	797	1263
387	798	1259
388	799	1255
389	800	1251
390	800	1247
391	801	1243
392	802	1239
393	803	1235
394	803	1231
395	804	1227
396	805	1223
397	806	1219
398	806	1215
399	807	1211
400	808	1207
401	809	1203
402	809	1199
403	810	1195
404	811	1192
405	812	1188
406	813	1185
407	814	1181
408	815	1178
409	816	1174
410	817	1171
411	818	1167
412	819	1164
413	819	1160
414	820	1157
415	821	1153
416	822	1149
417	823	1146
418	824	1142
419	824	1139
420	825	1135
421	826	1132
422	827	1129
423	828	1126
424	829	1122
425	830	1119
426	831	1115
427	832	1112
428	833	1108
429	833	1105
430	834	1101
431	835	1098
432	835	1094
433	836	1091
434	837	1087
435	838	1084
436	838	1080
437	839	1077
438	840	1073
439	841	1070
440	842	1067
441	843	1064
442	844	1061
443	844	1058
444	845	1054
445	846	1051
446	847	1047
447	847	1044
448	848	1041
449	849	1038
450	850	1034
451	851	1031
452	852	1028
453	853	1026
454	854	1023
